,files,pred
0,test10013.jpg,krusty
1,test10019.jpg,ned_flanders
2,test10028.jpg,ned_flanders
3,test10074.jpg,charles_montgomery
4,test10084.jpg,lisa_simpson
5,test10102.jpg,charles_montgomery
6,test10150.jpg,lisa_simpson
7,test10153.jpg,charles_montgomery
8,test10172.jpg,ned_flanders
9,test10186.jpg,moe_szyslak
10,test10200.jpg,milhouse_van_houten
11,test10240.jpg,lisa_simpson
12,test10247.jpg,marge_simpson
13,test10252.jpg,ned_flanders
14,test10276.jpg,lisa_simpson
15,test10312.jpg,milhouse_van_houten
16,test10332.jpg,principal_skinner
17,test10339.jpg,bart
18,test10350.jpg,charles_montgomery
19,test10353.jpg,principal_skinner
20,test10365.jpg,milhouse_van_houten
21,test10380.jpg,marge_simpson
22,test10393.jpg,moe_szyslak
23,test10406.jpg,moe_szyslak
24,test10422.jpg,marge_simpson
25,test10449.jpg,krusty
26,test10454.jpg,krusty
27,test10496.jpg,marge_simpson
28,test10513.jpg,bart
29,test10516.jpg,lisa_simpson
30,test10550.jpg,milhouse_van_houten
31,test10567.jpg,marge_simpson
32,test10578.jpg,krusty
33,test10586.jpg,milhouse_van_houten
34,test10602.jpg,marge_simpson
35,test10607.jpg,principal_skinner
36,test10652.jpg,bart
37,test10653.jpg,lisa_simpson
38,test10661.jpg,charles_montgomery
39,test10682.jpg,charles_montgomery
40,test10687.jpg,marge_simpson
41,test10690.jpg,principal_skinner
42,test10709.jpg,lisa_simpson
43,test10725.jpg,bart
44,test10727.jpg,krusty
45,test10749.jpg,lisa_simpson
46,test10769.jpg,charles_montgomery
47,test10789.jpg,principal_skinner
48,test10837.jpg,bart
49,test10852.jpg,charles_montgomery
50,test10865.jpg,lisa_simpson
51,test10872.jpg,marge_simpson
52,test10925.jpg,moe_szyslak
53,test10950.jpg,principal_skinner
54,test10952.jpg,marge_simpson
55,test10958.jpg,bart
56,test10977.jpg,moe_szyslak
57,test10995.jpg,marge_simpson
58,test10998.jpg,krusty
59,test11004.jpg,milhouse_van_houten
60,test11007.jpg,bart
61,test11039.jpg,moe_szyslak
62,test11054.jpg,bart
63,test11073.jpg,charles_montgomery
64,test11074.jpg,charles_montgomery
65,test11111.jpg,charles_montgomery
66,test11181.jpg,ned_flanders
67,test11199.jpg,milhouse_van_houten
68,test11221.jpg,marge_simpson
69,test11222.jpg,lisa_simpson
70,test11238.jpg,marge_simpson
71,test11249.jpg,charles_montgomery
72,test11290.jpg,principal_skinner
73,test11291.jpg,milhouse_van_houten
74,test11295.jpg,lisa_simpson
75,test11304.jpg,ned_flanders
76,test11358.jpg,milhouse_van_houten
77,test11398.jpg,moe_szyslak
78,test11400.jpg,lisa_simpson
79,test11416.jpg,principal_skinner
80,test11425.jpg,bart
81,test11428.jpg,marge_simpson
82,test11437.jpg,principal_skinner
83,test11446.jpg,moe_szyslak
84,test11458.jpg,lisa_simpson
85,test11460.jpg,lisa_simpson
86,test11475.jpg,bart
87,test11511.jpg,marge_simpson
88,test11513.jpg,principal_skinner
89,test11541.jpg,principal_skinner
90,test11608.jpg,lisa_simpson
91,test11620.jpg,krusty
92,test11688.jpg,ned_flanders
93,test11696.jpg,principal_skinner
94,test11708.jpg,principal_skinner
95,test11722.jpg,lisa_simpson
96,test11727.jpg,principal_skinner
97,test11748.jpg,moe_szyslak
98,test11805.jpg,bart
99,test11828.jpg,milhouse_van_houten
100,test11850.jpg,charles_montgomery
101,test11854.jpg,milhouse_van_houten
102,test11857.jpg,marge_simpson
103,test11919.jpg,charles_montgomery
104,test11932.jpg,marge_simpson
105,test11949.jpg,marge_simpson
106,test11956.jpg,krusty
107,test11970.jpg,krusty
108,test11982.jpg,milhouse_van_houten
109,test11996.jpg,principal_skinner
110,test12015.jpg,ned_flanders
111,test12039.jpg,principal_skinner
112,test12040.jpg,moe_szyslak
113,test12045.jpg,charles_montgomery
114,test12119.jpg,ned_flanders
115,test12133.jpg,krusty
116,test12179.jpg,lisa_simpson
117,test12181.jpg,bart
118,test12228.jpg,principal_skinner
119,test12265.jpg,ned_flanders
120,test12266.jpg,charles_montgomery
121,test12294.jpg,charles_montgomery
122,test12296.jpg,lisa_simpson
123,test12329.jpg,krusty
124,test12334.jpg,lisa_simpson
125,test12350.jpg,lisa_simpson
126,test12388.jpg,principal_skinner
127,test12406.jpg,ned_flanders
128,test12408.jpg,milhouse_van_houten
129,test12411.jpg,moe_szyslak
130,test12425.jpg,marge_simpson
131,test12435.jpg,bart
132,test12454.jpg,marge_simpson
133,test12458.jpg,bart
134,test12459.jpg,lisa_simpson
135,test12484.jpg,lisa_simpson
136,test12507.jpg,moe_szyslak
137,test12509.jpg,marge_simpson
138,test12544.jpg,lisa_simpson
139,test12576.jpg,charles_montgomery
140,test12598.jpg,milhouse_van_houten
141,test12623.jpg,bart
142,test12628.jpg,milhouse_van_houten
143,test12663.jpg,bart
144,test12666.jpg,marge_simpson
145,test12677.jpg,ned_flanders
146,test12707.jpg,lisa_simpson
147,test12719.jpg,bart
148,test12837.jpg,ned_flanders
149,test12851.jpg,krusty
150,test12855.jpg,moe_szyslak
151,test12861.jpg,charles_montgomery
152,test12869.jpg,krusty
153,test12879.jpg,charles_montgomery
154,test12901.jpg,marge_simpson
155,test12916.jpg,principal_skinner
156,test12935.jpg,ned_flanders
